,id,goog,count_all,count_rating,count_review,rating,picture,length,experience,period,locationid,time,period_ch,dum,did,ln_count_all,ln_count_rating,ln_count_review,ln_length,timedum_1,timedum_2,timedum_3,timedum_4,timedum_5,timedum_6,timedum_7,timedum_8,diddum_1,diddum_2,diddum_3,diddum_4,diddum_5,diddum_6,diddum_7,diddum_8,_est_ln_count_all
131,66.0,0,22.0,22.0,22.0,4.318182,0.8181818,414.72726,434.9091,2017M08,10,2.0,0.0,0.0,0.0,3.0910425,3.0910425,3.0910425,6.0276213,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
132,67.0,1,283.0,199.0,84.0,4.466431,0.0,55.309525,40.657246,2017M09,10,3.0,0.0,0.0,0.0,5.645447,5.293305,4.4308167,4.012945,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
133,67.0,0,9.0,9.0,9.0,4.5555553,0.6666667,289.33334,806.2222,2017M09,10,3.0,0.0,0.0,0.0,2.1972246,2.1972246,2.1972246,5.6675797,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
134,68.0,1,218.0,144.0,74.0,4.477064,0.0045871558,60.216217,41.091743,2017M10,10,4.0,0.0,0.0,0.0,5.3844953,4.9698133,4.304065,4.097942,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
135,68.0,0,14.0,14.0,14.0,4.428571,0.78571427,297.14285,977.2857,2017M10,10,4.0,0.0,0.0,0.0,2.6390574,2.6390574,2.6390574,5.694213,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
136,69.0,1,148.0,86.0,62.0,4.608108,0.0,81.30645,63.094593,2018M07,10,5.0,1.0,1.0,1.0,4.9972124,4.454347,4.1271343,4.3982253,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
137,69.0,0,6.0,6.0,6.0,4.3333335,1.0,357.66666,217.66667,2018M07,10,5.0,1.0,1.0,0.0,1.7917595,1.7917595,1.7917595,5.8796015,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
138,70.0,1,161.0,110.0,51.0,4.614907,0.0062111802,88.27451,41.47826,2018M08,10,6.0,1.0,1.0,1.0,5.081404,4.7004805,3.9318256,4.4804516,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
139,70.0,0,7.0,7.0,7.0,4.571429,0.5714286,289.2857,2575.8572,2018M08,10,6.0,1.0,1.0,0.0,1.9459101,1.9459101,1.9459101,5.6674147,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
140,71.0,1,137.0,87.0,50.0,4.467153,0.0,49.3,77.71533,2018M09,10,7.0,1.0,1.0,1.0,4.919981,4.465908,3.912023,3.897924,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
141,71.0,0,12.0,12.0,12.0,4.5833335,0.5833333,404.5,743.9167,2018M09,10,7.0,1.0,1.0,0.0,2.4849067,2.4849067,2.4849067,6.0026517,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
